Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Staten Island,Multi-Racial,2014,45,34,75.6,5,11.1
Staten Island,Multi-Racial,2013,32,25,78.1,4,12.5
Staten Island,Multi-Racial,2012,16,15,93.8,1,6.3
Staten Island,Multi-Racial,2018,69,60,87.0,4,5.8
Staten Island,Multi-Racial,2017,43,37,86.0,4,9.3
Staten Island,Multi-Racial,2016,30,22,73.3,2,6.7
Staten Island,Multi-Racial,2015,41,25,61.0,5,12.2
Staten Island,Multi-Racial,2014,45,34,75.6,5,11.1
Staten Island,Multi-Racial,2013,32,25,78.1,4,12.5
Staten Island,Multi-Racial,2012,16,15,93.8,1,6.3
Staten Island,Multi-Racial,2017,43,37,86.0,4,9.3
Staten Island,Multi-Racial,2016,29,22,75.9,4,13.8
Staten Island,Multi-Racial,2015,42,26,61.9,7,16.7
Staten Island,Multi-Racial,2014,45,34,75.6,5,11.1
Staten Island,Multi-Racial,2013,31,25,80.6,4,12.9
Staten Island,Multi-Racial,2012,16,15,93.8,1,6.3
Staten Island,Native American,2019,23,18,78.3,2,8.7
Staten Island,Native American,2018,26,22,84.6,2,7.7
Staten Island,Native American,2017,22,19,86.4,0,0.0
Staten Island,Native American,2016,27,22,81.5,0,0.0
Staten Island,Native American,2015,24,19,79.2,1,4.2
Staten Island,Native American,2014,16,9,56.3,0,0.0
Staten Island,Native American,2013,15,12,80.0,2,13.3
Staten Island,Native American,2012,17,13,76.5,2,11.8
Staten Island,Native American,2019,23,17,73.9,2,8.7
Staten Island,Native American,2018,26,21,80.8,2,7.7
Staten Island,Native American,2017,22,18,81.8,0,0.0
Staten Island,Native American,2016,27,20,74.1,0,0.0
Staten Island,Native American,2015,24,19,79.2,1,4.2
Staten Island,Native American,2014,16,8,50.0,0,0.0
Staten Island,Native American,2013,15,11,73.3,2,13.3
Staten Island,Native American,2012,17,13,76.5,2,11.8
Staten Island,Native American,2018,26,23,88.5,2,7.7
Staten Island,Native American,2017,23,21,91.3,0,0.0
Staten Island,Native American,2016,28,23,82.1,2,7.1
Staten Island,Native American,2015,25,19,76.0,1,4.0
Staten Island,Native American,2014,17,10,58.8,6,35.3
Staten Island,Native American,2013,17,13,76.5,3,17.6
Staten Island,Native American,2012,17,13,76.5,2,11.8
Staten Island,Native American,2018,26,23,88.5,2,7.7
Staten Island,Native American,2017,23,21,91.3,0,0.0
Staten Island,Native American,2016,28,22,78.6,3,10.7
Staten Island,Native American,2015,25,19,76.0,1,4.0
Staten Island,Native American,2014,17,10,58.8,6,35.3
Staten Island,Native American,2013,17,13,76.5,3,17.6
Staten Island,Native American,2012,17,13,76.5,2,11.8
Staten Island,Native American,2017,23,21,91.3,0,0.0
Staten Island,Native American,2016,28,23,82.1,2,7.1
Staten Island,Native American,2015,25,19,76.0,2,8.0
Staten Island,Native American,2014,17,11,64.7,5,29.4
Staten Island,Native American,2013,18,13,72.2,5,27.8
Staten Island,Native American,2012,16,14,87.5,2,12.5
Staten Island,White,2019,1929,1788,92.7,34,1.8
Staten Island,White,2018,2005,1853,92.4,37,1.8
Staten Island,White,2017,2186,2020,92.4,35,1.6
Staten Island,White,2016,2177,2013,92.5,39,1.8
Staten Island,White,2015,2120,1895,89.4,61,2.9
Staten Island,White,2014,2235,1979,88.5,63,2.8
Staten Island,White,2013,2285,2001,87.6,64,2.8
Staten Island,White,2012,2199,1889,85.9,87,4.0
Staten Island,White,2019,1929,1763,91.4,35,1.8
Staten Island,White,2018,2005,1838,91.7,37,1.8
Staten Island,White,2017,2186,1990,91.0,35,1.6
Staten Island,White,2016,2177,1998,91.8,39,1.8
Staten Island,White,2015,2120,1872,88.3,61,2.9
Staten Island,White,2014,2235,1955,87.5,63,2.8
Staten Island,White,2013,2285,1976,86.5,64,2.8
Staten Island,White,2012,2199,1850,84.1,87,4.0
Staten Island,White,2018,1999,1865,93.3,60,3.0
Staten Island,White,2017,2174,2035,93.6,67,3.1
Staten Island,White,2016,2169,2039,94.0,63,2.9
Staten Island,White,2015,2118,1930,91.1,81,3.8
Staten Island,White,2014,2234,2022,90.5,110,4.9
Staten Island,White,2013,2289,2053,89.7,108,4.7
Staten Island,White,2012,2216,1948,87.9,128,5.8
Staten Island,White,2018,1999,1864,93.2,60,3.0
Staten Island,White,2017,2174,2030,93.4,67,3.1
Staten Island,White,2016,2169,2035,93.8,63,2.9
Staten Island,White,2015,2118,1925,90.9,82,3.9
Staten Island,White,2014,2234,2017,90.3,111,5.0
Staten Island,White,2013,2289,2049,89.5,108,4.7
Staten Island,White,2012,2216,1948,87.9,128,5.8
Staten Island,White,2017,2172,2041,94.0,66,3.0
Staten Island,White,2016,2168,2041,94.1,69,3.2
Staten Island,White,2015,2120,1941,91.6,81,3.8
Staten Island,White,2014,2235,2033,91.0,108,4.8
Staten Island,White,2013,2290,2065,90.2,115,5.0
Staten Island,White,2012,2220,1964,88.5,138,6.2
